Account Name : VELO PREMIER CHECKING,,,,,,,,
Account Number : 2523685K2161934853,,,,,,,,
Date Range : 06/28/2020-08/26/2020,,,,,,,,
Transaction Number,Date,Description,Memo,Amount Debit,Amount Credit,Balance,Check Number,Fees  
20200810000000[-8:PST]*0.02*512**ONLN BKG TRFT CREDIT,8/10/2020,ONLN BKG TRFT CREDIT,REF 2211436L FUNDS TRANSFER FRM DEP 2161034397 FROM 300000000001044056,,0.02,22.22,,
20200721000000[-8:PST]*-1.12*10**PREAUTH DEBIT,7/21/2020,PREAUTH DEBIT,WEFABK CK WEBXFR TRANSFER 200721 @@2408561607,-1.12,,22.2,,
20200720000000[-8:PST]*-0.22*12**ONLN BKG TRFN DEBIT,7/20/2020,ONLN BKG TRFN DEBIT,REF 2001522L FUNDS TRANSFER TO DEP 2161199414 FROM 300000000001039664,-0.22,,23.32,,
20200720000000[-8:PST]*0.01*512**ONLN BKG TRFT CREDIT,7/20/2020,ONLN BKG TRFT CREDIT,REF 2001139L FUNDS TRANSFER FRM DEP 2161034397 FROM 300000000001039659,,0.01,23.54,,
20200720000000[-8:PST]*1.11*512**AUTOMATIC TRANSFER,7/20/2020,AUTOMATIC TRANSFER,TRANSFER FROM DEPOSIT SYSTEM ACCOUNT 2619013945,,1.11,23.53,,
20200630000000[-8:PST]*-3.00*10**PREAUTH DEBIT,6/30/2020,PREAUTH DEBIT,WEFABK CK WEBXFR TRANSFER 200630 @@2354969515,-3,,22.42,,
20200630000000[-8:PST]*-0.40*10**PREAUTH DEBIT,6/30/2020,PREAUTH DEBIT,WEFABK CK WEBXFR TRANSFER 200630 @@2354970801,-0.4,,25.42,,
20200630000000[-8:PST]*-0.30*10**PREAUTH DEBIT,6/30/2020,PREAUTH DEBIT,WEFABK CK WEBXFR TRANSFER 200630 @@2354970833,-0.3,,25.82,,
20200630000000[-8:PST]*-0.20*10**PREAUTH DEBIT,6/30/2020,PREAUTH DEBIT,WEFABK CK WEBXFR TRANSFER 200630 @@2354969273,-0.2,,26.12,,
20200630000000[-8:PST]*-0.10*10**PREAUTH DEBIT,6/30/2020,PREAUTH DEBIT,WEFABK CK WEBXFR TRANSFER 200630 @@2354968319,-0.1,,26.32,,
20200629000000[-8:PST]*0.05*512**ONLN BKG TRFT CREDIT,6/29/2020,ONLN BKG TRFT CREDIT,REF 1811220L FUNDS TRANSFER FRM DEP 2161034397 FROM 300000000001033118,,0.05,26.42,,
20200629000000[-8:PST]*0.02*512**ONLN BKG TRFT CREDIT,6/29/2020,ONLN BKG TRFT CREDIT,REF 1812056L FUNDS TRANSFER FRM DEP 2161034397 FROM 300000000001033195,,0.02,26.37,,
20200629000000[-8:PST]*0.01*512**ONLN BKG TRFT CREDIT,6/29/2020,ONLN BKG TRFT CREDIT,REF 1791116L FUNDS TRANSFER FRM DEP 2161034397 FROM 300000000001032730,,0.01,26.35,,
